length,thickness,minR,meanR,maxR,minG,meanG,maxG,minB,meanB,maxB;
10,3,18,70,103,18,70,103,18,70,103;
9,3,16,60,86,16,60,86,16,60,86;
13,3,7,36,71,7,36,71,7,36,71;
9,2,26,53,78,26,53,78,26,53,78;
9,2,35,61,85,35,61,85,35,61,85;
18,3,27,78,112,27,78,112,27,78,112;
10,2,30,55,79,30,55,79,30,55,79;
14,3,15,64,112,15,64,112,15,64,112;
21,3,29,73,108,29,73,108,29,73,108;
14,2,26,59,91,26,59,91,26,59,91;
11,2,24,71,104,24,71,104,24,71,104;
12,2,27,62,94,27,62,94,27,62,94;
11,2,29,49,72,29,49,72,29,49,72;
11,2,72,137,171,72,137,171,72,137,171;
19,4,29,53,72,29,53,72,29,53,72;
10,6,1,15,57,1,15,57,1,15,57;
11,3,32,68,101,32,68,101,32,68,101;
11,1,1,13,38,1,13,38,1,13,38;
11,3,28,65,129,28,65,129,28,65,129;
12,1,65,126,175,65,126,175,65,126,175;
10,5,2,13,38,2,13,38,2,13,38;
15,4,6,22,46,6,22,46,6,22,46;
11,3,8,30,64,8,30,64,8,30,64;
13,2,42,116,167,42,116,167,42,116,167;
10,4,14,51,86,14,51,86,14,51,86;
10,5,2,16,46,2,16,46,2,16,46;
15,5,4,25,71,4,25,71,4,25,71;
14,3,35,88,128,35,88,128,35,88,128;
9,3,2,42,102,2,42,102,2,42,102;
9,4,3,59,112,3,59,112,3,59,112;
26,3,1,73,112,1,73,112,1,73,112;
17,4,5,72,123,5,72,123,5,72,123;
9,4,13,33,60,13,33,60,13,33,60;
34,3,1,30,81,1,30,81,1,30,81;
31,4,1,46,97,1,46,97,1,46,97;
28,14,14,69,152,14,69,152,14,69,152;
8,2,38,68,94,38,68,94,38,68,94;
9,3,23,59,92,23,59,92,23,59,92;
9,3,19,42,75,19,42,75,19,42,75;
10,3,13,38,69,13,38,69,13,38,69;
25,3,4,60,97,4,60,97,4,60,97;
27,5,2,38,81,2,38,81,2,38,81;
16,5,1,20,59,1,20,59,1,20,59;
19,3,9,58,116,9,58,116,9,58,116;
23,3,8,62,97,8,62,97,8,62,97;
9,2,32,68,94,32,68,94,32,68,94;
8,2,35,67,94,35,67,94,35,67,94;
13,3,27,71,104,27,71,104,27,71,104;
16,2,13,72,107,13,72,107,13,72,107;
14,2,6,31,61,6,31,61,6,31,61;
26,5,1,40,88,1,40,88,1,40,88;
10,2,26,58,76,26,58,76,26,58,76;
11,3,26,53,86,26,53,86,26,53,86;
13,2,22,69,107,22,69,107,22,69,107;
17,5,2,25,69,2,25,69,2,25,69;
11,3,26,63,103,26,63,103,26,63,103;
10,2,39,72,106,39,72,106,39,72,106;
12,2,24,59,81,24,59,81,24,59,81;
10,3,74,106,133,74,106,133,74,106,133;
9,2,21,42,77,21,42,77,21,42,77;
25,5,1,30,75,1,30,75,1,30,75;
10,2,39,58,77,39,58,77,39,58,77;
10,4,26,48,73,26,48,73,26,48,73;
11,2,61,108,163,61,108,163,61,108,163;
12,3,21,57,93,21,57,93,21,57,93;
14,2,43,112,172,43,112,172,43,112,172;
11,4,4,22,56,4,22,56,4,22,56;
13,4,5,42,80,5,42,80,5,42,80;
13,3,18,72,118,18,72,118,18,72,118;
10,4,3,19,53,3,19,53,3,19,53;
11,5,1,10,30,1,10,30,1,10,30;
11,3,15,35,63,15,35,63,15,35,63;
11,3,21,56,87,21,56,87,21,56,87;
11,3,15,38,68,15,38,68,15,38,68;
13,5,12,39,106,12,39,106,12,39,106;
18,3,9,54,121,9,54,121,9,54,121;
10,2,21,61,100,21,61,100,21,61,100;
10,3,36,66,107,36,66,107,36,66,107;
23,3,5,44,74,5,44,74,5,44,74;
24,3,3,41,73,3,41,73,3,41,73;
8,4,4,32,69,4,32,69,4,32,69;
10,3,23,58,93,23,58,93,23,58,93;
12,3,18,72,112,18,72,112,18,72,112;
13,3,22,70,112,22,70,112,22,70,112;
16,3,18,76,116,18,76,116,18,76,116;
13,2,8,46,93,8,46,93,8,46,93;
19,4,5,44,75,5,44,75,5,44,75;
11,2,31,67,99,31,67,99,31,67,99;
11,3,18,57,100,18,57,100,18,57,100;
17,5,1,17,62,1,17,62,1,17,62;
11,1,33,58,91,33,58,91,33,58,91;
12,3,13,52,92,13,52,92,13,52,92;
17,5,1,12,47,1,12,47,1,12,47;
10,3,28,63,120,28,63,120,28,63,120;
10,2,37,67,98,37,67,98,37,67,98;
28,4,1,36,91,1,36,91,1,36,91;
12,2,13,68,105,13,68,105,13,68,105;
17,5,1,20,63,1,20,63,1,20,63;
13,3,10,59,97,10,59,97,10,59,97;
9,3,17,49,74,17,49,74,17,49,74;
11,3,9,40,82,9,40,82,9,40,82;
28,5,1,28,80,1,28,80,1,28,80;
15,3,20,54,103,20,54,103,20,54,103;
14,4,17,56,96,17,56,96,17,56,96;
23,4,3,25,65,3,25,65,3,25,65;
16,3,18,95,158,18,95,158,18,95,158;
12,4,18,44,72,18,44,72,18,44,72;
12,3,24,66,97,24,66,97,24,66,97;
13,3,9,44,78,9,44,78,9,44,78;
14,4,3,28,85,3,28,85,3,28,85;
13,3,16,49,75,16,49,75,16,49,75;
13,4,12,63,107,12,63,107,12,63,107;
13,3,17,77,118,17,77,118,17,77,118;
13,3,10,38,66,10,38,66,10,38,66;
14,5,3,17,58,3,17,58,3,17,58;
25,4,3,34,79,3,34,79,3,34,79;
17,4,12,44,104,12,44,104,12,44,104;
13,3,28,77,114,28,77,114,28,77,114;
13,3,10,59,104,10,59,104,10,59,104;
16,4,13,70,107,13,70,107,13,70,107;
12,3,7,45,91,7,45,91,7,45,91;
13,3,9,41,79,9,41,79,9,41,79;
21,4,2,44,80,2,44,80,2,44,80;
25,4,2,42,79,2,42,79,2,42,79;
18,4,13,60,109,13,60,109,13,60,109;
13,2,37,104,157,37,104,157,37,104,157;
11,4,22,63,101,22,63,101,22,63,101;
11,3,16,64,101,16,64,101,16,64,101;
4,3,3,6,17,3,6,17,3,6,17;
20,5,6,41,84,6,41,84,6,41,84;
14,3,36,66,96,36,66,96,36,66,96;
9,4,1,25,63,1,25,63,1,25,63;
9,3,55,96,135,55,96,135,55,96,135;
12,4,30,66,97,30,66,97,30,66,97;
20,4,13,69,138,13,69,138,13,69,138;
13,3,13,64,113,13,64,113,13,64,113;
14,3,25,73,108,25,73,108,25,73,108;
10,2,18,77,134,18,77,134,18,77,134;
20,7,1,22,70,1,22,70,1,22,70;
