length,thickness,minR,meanR,maxR,minG,meanG,maxG,minB,meanB,maxB;
23,4,4,25,52,4,25,52,4,25,52;
22,7,1,26,67,1,26,67,1,26,67;
22,5,9,54,100,9,54,100,9,54,100;
23,6,1,27,70,1,27,70,1,27,70;
23,6,11,53,101,11,53,101,11,53,101;
22,6,2,23,73,2,23,73,2,23,73;
23,5,8,54,91,8,54,91,8,54,91;
22,5,6,46,80,6,46,80,6,46,80;
22,6,17,47,86,17,47,86,17,47,86;
23,5,2,40,81,2,40,81,2,40,81;
24,5,2,43,82,2,43,82,2,43,82;
24,5,3,39,80,3,39,80,3,39,80;
21,5,3,38,80,3,38,80,3,38,80;
23,6,3,41,82,3,41,82,3,41,82;
26,6,1,37,81,1,37,81,1,37,81;
23,6,4,41,82,4,41,82,4,41,82;
23,6,6,40,77,6,40,77,6,40,77;
24,6,9,44,82,9,44,82,9,44,82;
24,5,7,44,79,7,44,79,7,44,79;
24,5,8,42,79,8,42,79,8,42,79;
24,5,6,43,83,6,43,83,6,43,83;
24,6,6,44,80,6,44,80,6,44,80;
25,6,7,43,80,7,43,80,7,43,80;
23,5,5,45,82,5,45,82,5,45,82;
24,6,9,44,79,9,44,79,9,44,79;
22,6,4,42,83,4,42,83,4,42,83;
23,5,1,39,81,1,39,81,1,39,81;
23,5,4,40,80,4,40,80,4,40,80;
25,6,4,42,82,4,42,82,4,42,82;
23,6,3,40,80,3,40,80,3,40,80;
23,6,2,40,81,2,40,81,2,40,81;
24,5,6,43,80,6,43,80,6,43,80;
10,6,8,40,82,8,40,82,8,40,82;
26,5,1,41,80,1,41,80,1,41,80;
24,6,3,39,86,3,39,86,3,39,86;
24,6,1,27,66,1,27,66,1,27,66;
24,4,2,34,83,2,34,83,2,34,83;
24,5,1,23,64,1,23,64,1,23,64;
24,6,3,30,78,3,30,78,3,30,78;
24,6,2,36,91,2,36,91,2,36,91;
23,5,2,40,89,2,40,89,2,40,89;
24,6,4,25,77,4,25,77,4,25,77;
24,6,4,48,88,4,48,88,4,48,88;
24,4,4,42,92,4,42,92,4,42,92;
23,5,5,47,88,5,47,88,5,47,88;
23,5,5,53,99,5,53,99,5,53,99;
24,5,4,41,80,4,41,80,4,41,80;
24,6,4,43,85,4,43,85,4,43,85;
23,5,2,33,69,2,33,69,2,33,69;
24,4,4,24,50,4,24,50,4,24,50;
24,6,4,47,87,4,47,87,4,47,87;
24,6,2,26,65,2,26,65,2,26,65;
24,5,5,53,99,5,53,99,5,53,99;
23,6,2,27,60,2,27,60,2,27,60;
24,6,6,50,105,6,50,105,6,50,105;
24,6,3,26,73,3,26,73,3,26,73;
