length,thickness,minR,meanR,maxR,minG,meanG,maxG,minB,meanB,maxB;
23,4,5,45,75,5,45,75,5,45,75;
21,3,7,73,126,7,73,126,7,73,126;
21,4,6,33,69,6,33,69,6,33,69;
17,4,2,36,88,2,36,88,2,36,88;
17,2,1,26,53,1,26,53,1,26,53;
25,4,11,59,98,11,59,98,11,59,98;
17,4,3,30,69,3,30,69,3,30,69;
15,5,2,21,61,2,21,61,2,21,61;
17,5,1,25,58,1,25,58,1,25,58;
14,4,3,39,72,3,39,72,3,39,72;
14,5,1,23,69,1,23,69,1,23,69;
16,5,4,29,71,4,29,71,4,29,71;
12,4,8,37,68,8,37,68,8,37,68;
13,4,2,19,64,2,19,64,2,19,64;
28,5,2,49,91,2,49,91,2,49,91;
28,4,4,68,118,4,68,118,4,68,118;
13,4,3,21,56,3,21,56,3,21,56;
15,4,3,21,66,3,21,66,3,21,66;
18,5,4,25,69,4,25,69,4,25,69;
14,6,2,23,70,2,23,70,2,23,70;
30,4,1,45,93,1,45,93,1,45,93;
30,5,4,80,133,4,80,133,4,80,133;
16,6,3,22,58,3,22,58,3,22,58;
16,6,4,22,57,4,22,57,4,22,57;
15,5,1,13,38,1,13,38,1,13,38;
32,5,3,38,94,3,38,94,3,38,94;
17,5,1,15,59,1,15,59,1,15,59;
14,6,1,14,47,1,14,47,1,14,47;
12,7,1,17,61,1,17,61,1,17,61;
23,4,2,37,82,2,37,82,2,37,82;
23,4,5,60,121,5,60,121,5,60,121;
23,4,5,81,122,5,81,122,5,81,122;
24,4,5,47,84,5,47,84,5,47,84;
23,4,5,51,93,5,51,93,5,51,93;
24,4,6,74,121,6,74,121,6,74,121;
24,4,5,44,104,5,44,104,5,44,104;
25,4,6,46,96,6,46,96,6,46,96;
17,4,2,22,58,2,22,58,2,22,58;
15,4,1,22,57,1,22,57,1,22,57;
18,5,8,50,85,8,50,85,8,50,85;
17,4,9,50,86,9,50,86,9,50,86;
13,5,4,22,52,4,22,52,4,22,52;
26,4,2,63,111,2,63,111,2,63,111;
25,4,2,44,79,2,44,79,2,44,79;
13,4,4,23,54,4,23,54,4,23,54;
27,5,1,32,73,1,32,73,1,32,73;
26,4,5,47,74,5,47,74,5,47,74;
14,4,2,22,56,2,22,56,2,22,56;
17,4,1,25,87,1,25,87,1,25,87;
15,5,3,28,73,3,28,73,3,28,73;
29,5,2,51,120,2,51,120,2,51,120;
27,4,4,53,98,4,53,98,4,53,98;
14,4,2,22,66,2,22,66,2,22,66;
13,8,3,32,166,3,32,166,3,32,166;
14,5,2,22,61,2,22,61,2,22,61;
15,5,3,21,63,3,21,63,3,21,63;
30,5,5,57,95,5,57,95,5,57,95;
26,5,1,41,91,1,41,91,1,41,91;
29,4,7,78,143,7,78,143,7,78,143;
18,4,1,15,49,1,15,49,1,15,49;
19,5,1,20,58,1,20,58,1,20,58;
32,5,1,44,91,1,44,91,1,44,91;
30,4,5,71,116,5,71,116,5,71,116;
16,5,4,21,55,4,21,55,4,21,55;
16,5,8,25,56,8,25,56,8,25,56;
8,3,5,46,101,5,46,101,5,46,101;
17,5,5,30,78,5,30,78,5,30,78;
20,4,5,37,84,5,37,84,5,37,84;
23,6,2,20,72,2,20,72,2,20,72;
20,4,11,81,126,11,81,126,11,81,126;
19,4,5,44,92,5,44,92,5,44,92;
